code	offical_name	offical_summary_category	suggested_categorization	average_minutes	avg_minutes_per_participant	participation_rate
t130125	Skiing, ice skating, snowboarding	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.18	189.94	0
t130126	Playing soccer	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.32	119.12	0
t130127	Softball	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.16	133.49	0
t130128	Using cardiovascular equipment	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.68	41.16	0.02
t130129	Vehicle touring/racing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.2	143.68	0
t130130	Playing volleyball	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.16	126.2	0
t130131	Walking	Sports Exercise and Recreation	Sports, Exercise, and Recreation	2.97	53.74	0.06
t130132	Participating in water sports	Sports Exercise and Recreation	Sports, Exercise, and Recreation	1.51	107.86	0.01
t130133	Weightlifting/strength training	Sports Exercise and Recreation	Sports, Exercise, and Recreation	1.06	53.19	0.02
t130134	Working out, unspecified	Sports Exercise and Recreation	Sports, Exercise, and Recreation	2.04	55.5	0.04
t130135	Wrestling	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.02	109.28	0
t130136	Doing yoga	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.23	54.87	0
t130199	Playing sports n.e.c.*	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.62	83.94	0.01
t130201	Watching aerobics	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	59.22	0
t130202	Watching baseball	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.32	176.61	0
t130203	Watching basketball	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.31	138.26	0
t130204	Watching biking	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.01	123.82	0
t130205	Watching billiards	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.01	151.08	0
t130206	Watching boating	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.01	145.3	0
t130207	Watching bowling	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.02	140.44	0
t130208	Watching climbing, spelunking, caving	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	0	0
t130209	Watching dancing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.01	171.94	0
t130210	Watching equestrian sports	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.03	181.11	0
t130211	Watching fencing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	120	0
t130212	Watching fishing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.01	137.54	0
t130213	Watching football	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.33	174.02	0
t130214	Watching golfing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.02	271.64	0
t130215	Watching gymnastics	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	130.97	0
t130216	Watching hockey	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.08	150.96	0
t130217	Watching martial arts	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	91.28	0
t130218	Watching racquet sports	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.03	126.8	0
t130219	Watching rodeo competitions	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.01	185.75	0
t130220	Watching rollerblading	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	106.88	0
t130221	Watching rugby	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	90.01	0
t130222	Watching running	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.02	138.45	0
t130223	Watching skiing, ice skating, snowboarding	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	50.31	0
t130224	Watching soccer	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.12	113.15	0
t130225	Watching softball	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.09	158.31	0
t130226	Watching vehicle touring/racing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.1	271.68	0
t130227	Watching volleyball	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.03	130.17	0
t130228	Watching walking	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	0	0
t130229	Watching water sports	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.03	176.9	0
t130230	Watching weightlifting/strength training	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	230	0
t130231	Watching people working out, unspecified	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	70.2	0
t130232	Watching wrestling	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.03	235.92	0
t130299	Attending sporting events, n.e.c.*	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.12	178.23	0
t130301	Waiting related to playing sports or exercising	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.04	30.56	0
t130302	Waiting related to attending sporting events	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.02	44.86	0
t130399	Waiting associated with sports, exercise, & recreation, n.e.c.*	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	103.07	0
t130401	Security related to playing sports or exercising	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	14.56	0
t130402	Security related to attending sporting events	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	10.53	0
t130499	Security related to sports, exercise, & recreation, n.e.c.*	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	0	0
t139999	Sports, exercise, & recreation, n.e.c.*	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.02	74.81	0
t140101	Attending religious services	Religious and Spiritual Activities	Religious and Volunteer Activities	5.62	114.84	0.05
t140102	Participation in religious practices	Religious and Spiritual Activities	Religious and Volunteer Activities	2.26	50.86	0.04
t140103	Waiting associated w/religious & spiritual activities	Religious and Spiritual Activities	Religious and Volunteer Activities	0.04	21.72	0
t140104	Security procedures rel. to religious & spiritual activities	Religious and Spiritual Activities	Religious and Volunteer Activities	0	157.79	0
t140105	Religious education activities	Religious and Spiritual Activities	Religious and Volunteer Activities	0.59	82.23	0.01
t149999	Religious and spiritual activities, n.e.c.*	Religious and Spiritual Activities	Religious and Volunteer Activities	0.03	133.43	0
t150101	Computer use	Volunteer Activities	Religious and Volunteer Activities	0.67	75.61	0.01
t150102	Organizing and preparing	Volunteer Activities	Religious and Volunteer Activities	0.67	85.12	0.01
t150103	Reading	Volunteer Activities	Religious and Volunteer Activities	0.13	88.57	0
t150104	Telephone calls (except hotline counseling)	Volunteer Activities	Religious and Volunteer Activities	0.19	43.27	0
t150105	Writing	Volunteer Activities	Religious and Volunteer Activities	0.08	89.43	0
t150106	Fundraising	Volunteer Activities	Religious and Volunteer Activities	0.25	123.48	0
t150199	Administrative & support activities, n.e.c.*	Volunteer Activities	Religious and Volunteer Activities	0.25	86.42	0
t150201	Food preparation, presentation, clean-up	Volunteer Activities	Religious and Volunteer Activities	0.62	124.53	0
t150202	Collecting & delivering clothing & other goods	Volunteer Activities	Religious and Volunteer Activities	0.12	64.6	0
t150203	Providing care	Volunteer Activities	Religious and Volunteer Activities	0.27	120.09	0
t150204	Teaching, leading, counseling, mentoring	Volunteer Activities	Religious and Volunteer Activities	1.02	121.49	0.01
t150299	Social service & care activities, n.e.c.*	Volunteer Activities	Religious and Volunteer Activities	0.17	136.1	0
t150301	Building houses, wildlife sites, & other structures	Volunteer Activities	Religious and Volunteer Activities	0.03	191.3	0
t150302	Indoor & outdoor maintenance, repair, & clean-up	Volunteer Activities	Religious and Volunteer Activities	0.42	104.06	0
t150399	Indoor & outdoor maintenance, building & clean-up activities, n.e.c.*	Volunteer Activities	Religious and Volunteer Activities	0.03	98.89	0
t150401	Performing	Volunteer Activities	Religious and Volunteer Activities	0.37	113.99	0
t150402	Serving at volunteer events & cultural activities	Volunteer Activities	Religious and Volunteer Activities	0.24	161.98	0
t150499	Participating in performance & cultural activities, n.e.c.*	Volunteer Activities	Religious and Volunteer Activities	0.03	133.24	0
t150501	Attending meetings, conferences, & training	Volunteer Activities	Religious and Volunteer Activities	0.98	117.04	0.01
t150599	Attending meetings, conferences, & training, n.e.c.*	Volunteer Activities	Religious and Volunteer Activities	0.01	124.98	0
t150601	Public health activities	Volunteer Activities	Religious and Volunteer Activities	0.03	103.75	0
t150602	Public safety activities	Volunteer Activities	Religious and Volunteer Activities	0.05	110.93	0
t150699	Public health & safety activities, n.e.c.*	Volunteer Activities	Religious and Volunteer Activities	0.01	136.86	0
t159989	NA	Volunteer Activities	Religious and Volunteer Activities	1.77	119.81	0.01
t160101	Telephone calls to/from family members	Telephone Calls	Other	2.24	33.64	0.07
t160102	Telephone calls to/from friends, neighbors, or acquaintances	Telephone Calls	Other	2.23	45.45	0.05
t160103	Telephone calls to/from education services providers	Telephone Calls	Other	0.02	32.58	0
t160104	Telephone calls to/from salespeople	Telephone Calls	Other	0.05	24.68	0
t160105	Telephone calls to/from professional or personal care svcs providers	Telephone Calls	Other	0.15	26.99	0.01
t160106	Telephone calls to/from household services providers	Telephone Calls	Other	0.06	25.69	0
t160107	Telephone calls to/from paid child or adult care providers	Telephone Calls	Other	0.01	25.28	0
t160108	Telephone calls to/from government officials	Telephone Calls	Other	0.02	24.88	0
t169989	NA	Telephone Calls	Other	1.66	45.56	0.04
t180101	Travel related to personal care	Traveling	Personal Care	0.99	39.55	0.03
t180199	Travel related to personal care, n.e.c.*	Traveling	Personal Care	0	41.43	0
t180280	NA	Traveling	Household Activities	2.6	28.6	0.09
t180381	NA	Traveling	Caring For Household Member	3.74	35	0.11
t180382	NA	Traveling	Caring For Household Member	1.13	39.67	0.03
t180399	Travel rel. to caring for & helping hh members, n.e.c.*	Traveling	Caring For Household Member	0	16.8	0
t180481	NA	Traveling	Caring For Nonhousehold Members	1.03	31.35	0.03
t180482	NA	Traveling	Caring For Nonhousehold Members	2.75	38.41	0.07
t180499	Travel rel. to caring for & helping nonhh members, n.e.c.*	Traveling	Caring For Nonhousehold Members	0	31.13	0
t180501	Travel related to working	Traveling	Work	16.18	44.83	0.36
t180502	Travel related to work-related activities	Traveling	Work	0.18	27.59	0.01
t180589	NA	Traveling	Work	0.42	44.26	0.01
t180601	Travel related to taking class	Traveling	Education	1.55	34.43	0.04
t180682	NA	Traveling	Education	0.32	25.91	0.01
t180699	Travel related to education, n.e.c.*	Traveling	Education	0.02	28.18	0
t180701	Travel related to grocery shopping	Traveling	Consumer Purchases	3.31	24.06	0.14
t180782	NA	Traveling	Consumer Purchases	10.79	35.15	0.31
t180801	Travel related to using childcare services	Traveling	Professional & Personal Care Services	0.02	24.24	0
t180802	Travel related to using financial services and banking	Traveling	Professional & Personal Care Services	0.43	16.53	0.03
t180803	Travel related to using legal services	Traveling	Professional & Personal Care Services	0.02	34.62	0
t180804	Travel related to using medical services	Traveling	Professional & Personal Care Services	1.18	36.07	0.03
t180805	Travel related to using personal care services	Traveling	Professional & Personal Care Services	0.33	22.86	0.01
t180806	Travel related to using real estate services	Traveling	Professional & Personal Care Services	0.13	47.32	0
t180807	Travel related to using veterinary services	Traveling	Professional & Personal Care Services	0.07	32.03	0
t180899	Travel rel. to using prof. & personal care services, n.e.c.*	Traveling	Professional & Personal Care Services	0.02	29.55	0
t180901	Travel related to using household services	Traveling	Household Services	0.06	15.84	0
t180902	Travel related to using home main./repair/décor./construction svcs	Traveling	Household Services	0.02	23.55	0
t180903	Travel related to using pet services (not vet)	Traveling	Household Services	0.04	38.88	0
t180904	Travel related to using lawn and garden services	Traveling	Household Services	0	12.91	0
t180905	Travel related to using vehicle maintenance & repair services	Traveling	Household Services	0.29	29.85	0.01
t180999	Travel related to using household services, n.e.c.*	Traveling	Household Services	0	21.68	0
t181002	Travel related to civic obligations & participation	Traveling	Other	0.05	29.43	0
t181081	NA	Traveling	Other	0.12	30.4	0
t181099	Travel rel. to govt svcs & civic obligations, n.e.c.*	Traveling	Other	0	29.31	0
t181101	Travel related to eating and drinking	Traveling	Eating and Drinking	6.96	28.79	0.24
t181199	Travel related to eating and drinking, n.e.c.*	Traveling	Eating and Drinking	0	17.23	0
t181201	Travel related to socializing and communicating	Traveling	Socializing, Relaxing, and Leisure	5.57	31.56	0.18
t181202	Travel related to attending or hosting social events	Traveling	Socializing, Relaxing, and Leisure	0.78	35.97	0.02
t181204	Travel related to arts and entertainment	Traveling	Socializing, Relaxing, and Leisure	1.09	40.02	0.03
t181283	NA	Traveling	Socializing, Relaxing, and Leisure	3.14	35.41	0.09
t181299	Travel rel. to socializing, relaxing, & leisure, n.e.c.*	Traveling	Socializing, Relaxing, and Leisure	0.02	119.5	0
t181301	Travel related to participating in sports/exercise/recreation	Traveling	Sports, Exercise, and Recreation	2.35	26.82	0.09
t181302	Travel related to attending sporting/recreational events	Traveling	Sports, Exercise, and Recreation	0.39	41.1	0.01
t181399	Travel related to sports, exercise, & recreation, n.e.c.*	Traveling	Sports, Exercise, and Recreation	0.01	38.43	0
t181401	Travel related to religious/spiritual practices	Traveling	Religious and Volunteer Activities	1.3	26.09	0.05
t181499	Travel rel. to religious/spiritual activities, n.e.c.*	Traveling	Religious and Volunteer Activities	0	19.08	0
t181501	Travel related to volunteering	Traveling	Religious and Volunteer Activities	1.06	27.44	0.04
t181599	Travel related to volunteer activities, n.e.c.*	Traveling	Religious and Volunteer Activities	0.05	30.29	0
t181601	Travel related to phone calls	Traveling	Other	0.17	26.66	0.01
t181699	Travel rel. to phone calls, n.e.c.*	Traveling	Other	0	21.5	0
t181801	Security procedures related to traveling	Traveling	Other	0.06	57.59	0
t181899	Security procedures related to traveling, n.e.c.*	Traveling	Other	0.02	58.12	0
t189999	Traveling, n.e.c.*	Traveling	Other	1.84	51.81	0.04
t500101	Insufficient detail in verbatim	Data Codes	Other	6.66	88.45	0.08
t500103	Missing travel or destination	Data Codes	Other	0.7	40.04	0.02
t500104	NA	Data Codes	Other	0.36	78.85	0
t500105	"""Respondent refused to provide information/""""none of your business"""""""	Data Codes	Other	0.25	69.88	0
t500106	Gap/can't remember	Data Codes	Other	3.76	69.61	0.05
t500107	Unable to code activity at 1st tier	Data Codes	Other	0.11	37.26	0
t509989	NA	Data Codes	Other	0.02	68.08	0
